Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
30.01.2008,Manchester United,Portsmouth,2:00,H,1.23,5.42,13.62
30.01.2008,West Ham,Liverpool,1:00,H,3.84,3.31,1.95
29.01.2008,Arsenal,Newcastle,3:00,H,1.3,4.7,10.48
29.01.2008,Bolton,Fulham,0:00,D,1.88,3.3,4.13
29.01.2008,Middlesbrough,Wigan,1:00,H,1.94,3.26,3.92
29.01.2008,Sunderland,Birmingham,2:00,H,2.21,3.22,3.18
26.01.2008,Aston Villa,Blackburn,1:01,D,1.98,3.12,4.04
21.01.2008,Liverpool,Aston Villa,2:02,D,1.55,3.7,6.31
20.01.2008,Manchester City,West Ham,1:01,D,1.98,3.38,7.39
20.01.2008,Wigan,Everton,1:02,A,3.07,3.2,2.29
19.01.2008,Birmingham,Chelsea,0:01,A,6.23,3.51,1.59
19.01.2008,Blackburn,Middlesbrough,1:01,D,2.06,3.37,4.3
19.01.2008,Fulham,Arsenal,0:03,A,7.48,4,1.45
19.01.2008,Newcastle,Bolton,0:00,D,1.78,3.41,4.62
19.01.2008,Portsmouth,Derby,3:01,H,1.4,4.26,9.09
19.01.2008,Reading,Manchester United,0:02,A,8.71,4.2,1.38
19.01.2008,Tottenham,Sunderland,2:00,H,1.39,4.27,8.88
13.01.2008,Bolton,Blackburn,1:02,A,2.66,3.11,2.67
13.01.2008,Sunderland,Portsmouth,2:00,H,2.66,3.2,2.61
12.01.2008,Arsenal,Birmingham,1:01,D,1.18,6.62,18.18
12.01.2008,Aston Villa,Reading,3:01,H,1.55,3.74,6.48
12.01.2008,Chelsea,Tottenham,2:00,H,1.71,3.42,5.08
12.01.2008,Derby,Wigan,0:01,A,2.88,3.17,2.44
12.01.2008,Everton,Manchester City,1:00,H,1.92,3.33,4.95
12.01.2008,Manchester United,Newcastle,6:00,H,1.23,5.37,13.54
12.01.2008,Middlesbrough,Liverpool,1:01,D,5.19,3.52,1.67
12.01.2008,West Ham,Fulham,2:01,H,1.73,3.38,4.93
02.01.2008,Blackburn,Sunderland,1:00,H,1.56,3.71,5.96
02.01.2008,Bolton,Derby,1:00,H,1.49,3.84,6.79
02.01.2008,Liverpool,Wigan,1:01,D,1.22,5.45,13.55
02.01.2008,Newcastle,Manchester City,0:02,A,2.23,3.23,3.14
01.01.2008,Arsenal,West Ham,2:00,H,1.33,4.61,9.06
01.01.2008,Aston Villa,Tottenham,2:01,H,2.35,3.21,2.96
01.01.2008,Fulham,Chelsea,1:02,A,6.41,3.73,1.53
01.01.2008,Manchester United,Birmingham,1:00,H,1.15,6.58,16.06
01.01.2008,Middlesbrough,Everton,0:02,A,2.9,3.21,2.38
01.01.2008,Reading,Portsmouth,0:02,A,3.55,3.31,2.51
30.12.2007,Derby,Blackburn,1:02,A,4.44,3.47,1.8
30.12.2007,Manchester City,Liverpool,0:00,D,3.76,3.26,2
