Date,League,Home_Team,Away_Team,URL,Over 0.5,Under 0.5,Over 1.5,Under 1.5,Over 2.5,Under 2.5,Over 3.5,Under 3.5,Over 4.5,Under 4.5,Over 5.5,Under 5.5,Chosen_Option,Chosen_Odds,Chosen_Option_Empirical_Prob,N,Chosen_Option_Std,Kelly,Record_Time
2021-03-02,league-two,Morecambe,Crawley,https://www.playnow.com/sports/sports/event/10319136/soccer/united-kingdom/english-league-2/morecambe-fc-v-crawley-town,1.05,11,1.28,3.4,1.9,1.8,3.2,1.3,5.75,1.1,0,0,Over 4.5,5.75,0.4,5,0.219089023002066,70.0000000000003,2021-03-01 04:34:29
2021-03-02,league-two,Grimsby,Leyton Orient,https://www.playnow.com/sports/sports/event/10319142/soccer/united-kingdom/english-league-2/grimsby-town-v-leyton-orient,1.06,10,1.33,3,2,1.7,3.5,1.25,6.5,1.08,0,0,Over 3.5,3.5,0.25,4,0.21650635094611,2.14130434782609,2021-03-01 04:38:00
2021-03-02,league-two,Exeter,Walsall,https://www.playnow.com/sports/sports/event/10319137/soccer/united-kingdom/english-league-2/exeter-city-v-walsall-fc,1.83,3.37,3.65,2.6,13,41,4.25,4.75,7.5,23,0,0,Under 3.5,4.75,0,1,0,5.52380952380953,2021-03-01 04:36:29
2021-03-02,league-two,Colchester,Carlisle,https://www.playnow.com/sports/sports/event/10319131/soccer/united-kingdom/english-league-2/colchester-united-v-carlisle-united,1.05,10,1.3,3.2,1.95,1.75,3.25,1.28,6,1.09,0,0,Over 3.5,3.25,0.25,4,0.21650635094611,1.95588235294118,2021-03-01 04:36:00
2021-03-02,league-two,Cheltenham,Southend,https://www.playnow.com/sports/sports/event/10319135/soccer/united-kingdom/english-league-2/cheltenham-town-v-southend-united,1.05,10,1.3,3.2,1.95,1.75,3.4,1.28,6,1.09,0,0,Over 3.5,3.4,0.1,10,0.0948683298050514,2.275,2021-03-01 04:35:42
2021-03-02,league-two,Cambridge Utd,Scunthorpe,https://www.playnow.com/sports/sports/event/10319133/soccer/united-kingdom/english-league-2/cambridge-united-v-scunthorpe-united,1.06,9,1.33,3,2.05,1.7,3.5,1.25,6.5,1.08,0,0,Over 3.5,3.5,0.4,5,0.219089023002066,1.91304347826087,2021-03-01 04:35:24
2021-03-02,league-two,Bradford City,Mansfield,https://www.playnow.com/sports/sports/event/10319134/soccer/united-kingdom/english-league-2/bradford-city-v-mansfield-town,1.06,9,1.33,3.2,2,1.7,3.4,1.28,6.5,1.08,0,0,Over 3.5,3.4,0,2,0,2.41666666666667,2021-03-01 04:35:06
2021-03-02,league-two,Barrow,Harrogate,https://www.playnow.com/sports/sports/event/10319132/soccer/united-kingdom/english-league-2/barrow-afc-v-harrogate-town-fc,1.05,10,1.3,3.2,1.95,1.75,3.25,1.28,6,1.09,0,0,"",,,,,,2021-03-01 04:34:47
2021-02-27,league-two,Walsall,Bradford City,https://www.playnow.com/sports/sports/event/10313822/soccer/united-kingdom/english-league-2/walsall-fc-v-bradford-city,1.06,10,1.33,3,2.05,1.7,3.6,1.25,6.5,1.08,0,0,Over 3.5,3.6,0,1,0,2.63636363636364,2021-02-26 08:27:49
2021-02-27,league-two,Southend,Salford,https://www.playnow.com/sports/sports/event/10313826/soccer/united-kingdom/english-league-2/southend-united-v-salford-city-fc,1.07,8.5,1.4,2.75,2.2,1.6,4,1.2,7.5,1.06,0,0,"",,,,,,2021-02-26 08:27:31
2021-02-27,league-two,Scunthorpe,Cheltenham,https://www.playnow.com/sports/sports/event/10313821/soccer/united-kingdom/english-league-2/scunthorpe-united-v-cheltenham-town,1.08,8,1.4,2.7,2.3,1.57,4.25,1.2,7.5,1.05,0,0,Over 3.5,4.25,0.333333333333333,6,0.192450089729875,2.82795698924731,2021-02-26 08:27:13
