Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal,Home_Odds,Draw_Odds,Away_Odds
11.12.2021,2021,Espanyol,Levante,4,3,1.96,3.49,4.00
11.12.2021,2021,Valencia,Elche,2,1,1.64,3.77,5.92
10.12.2021,2021,Mallorca,Celta Vigo,0,0,2.85,2.90,2.84
06.12.2021,2021,Getafe,Ath Bilbao,0,0,3.55,2.89,2.38
05.12.2021,2021,Celta Vigo,Valencia,1,2,1.91,3.53,4.17
05.12.2021,2021,Elche,Cadiz CF,3,1,2.09,3.10,4.06
05.12.2021,2021,Levante,Osasuna,0,0,2.35,3.13,3.28
05.12.2021,2021,Rayo Vallecano,Espanyol,1,0,2.04,3.29,3.94
04.12.2021,2021,Atl. Madrid,Mallorca,1,2,1.34,4.89,10.37
04.12.2021,2021,Barcelona,Betis,0,1,1.50,4.57,6.23
04.12.2021,2021,Real Sociedad,Real Madrid,0,2,3.46,3.48,2.12
04.12.2021,2021,Sevilla,Villarreal,1,0,1.98,3.34,4.11
03.12.2021,2021,Granada CF,Alaves,2,1,2.41,3.02,3.31
01.12.2021,2021,Real Madrid,Ath Bilbao,1,0,1.47,4.48,7.06
29.11.2021,2021,Osasuna,Elche,1,1,1.80,3.44,4.93
28.11.2021,2021,Betis,Levante,3,1,1.72,4.02,4.61
28.11.2021,2021,Cadiz CF,Atl. Madrid,1,4,7.92,4.21,1.46
28.11.2021,2021,Espanyol,Real Sociedad,1,0,2.99,3.11,2.55
28.11.2021,2021,Real Madrid,Sevilla,2,1,1.70,3.84,4.99
27.11.2021,2021,Alaves,Celta Vigo,1,2,3.06,3.09,2.52
27.11.2021,2021,Mallorca,Getafe,0,0,2.30,2.89,3.77
27.11.2021,2021,Valencia,Rayo Vallecano,1,1,2.03,3.31,4.00
27.11.2021,2021,Villarreal,Barcelona,1,3,2.78,3.34,2.58
26.11.2021,2021,Ath Bilbao,Granada CF,2,2,1.37,4.74,9.21
22.11.2021,2021,Rayo Vallecano,Mallorca,3,1,1.90,3.30,4.57
21.11.2021,2021,Elche,Betis,0,3,3.24,3.15,2.37
21.11.2021,2021,Getafe,Cadiz CF,4,0,2.05,3.00,4.40
21.11.2021,2021,Granada CF,Real Madrid,1,4,7.51,4.88,1.41
21.11.2021,2021,Real Sociedad,Valencia,0,0,1.61,4.01,5.64
20.11.2021,2021,Atl. Madrid,Osasuna,1,0,1.46,4.15,8.01
20.11.2021,2021,Barcelona,Espanyol,1,0,1.48,4.43,6.69
20.11.2021,2021,Celta Vigo,Villarreal,1,1,2.46,3.21,3.04
20.11.2021,2021,Sevilla,Alaves,2,2,1.45,4.15,8.43
19.11.2021,2021,Levante,Ath Bilbao,0,0,3.55,3.30,2.17
07.11.2021,2021,Betis,Sevilla,0,2,2.93,3.14,2.61
07.11.2021,2021,Mallorca,Elche,2,2,2.09,3.05,4.18
07.11.2021,2021,Osasuna,Real Sociedad,0,2,3.28,3.16,2.34
07.11.2021,2021,Valencia,Atl. Madrid,3,3,4.50,3.23,1.94
07.11.2021,2021,Villarreal,Getafe,1,0,1.47,4.19,7.62
06.11.2021,2021,Alaves,Levante,2,1,2.36,3.10,3.32
06.11.2021,2021,Celta Vigo,Barcelona,3,3,3.71,3.50,2.03
06.11.2021,2021,Espanyol,Granada CF,2,0,1.85,3.57,4.40
06.11.2021,2021,Real Madrid,Rayo Vallecano,2,1,1.37,5.03,8.29
05.11.2021,2021,Ath Bilbao,Cadiz CF,0,1,1.40,4.59,8.77
01.11.2021,2021,Levante,Granada CF,0,3,2.08,3.26,3.84
01.11.2021,2021,Rayo Vallecano,Celta Vigo,0,0,2.30,3.12,3.40
31.10.2021,2021,Atl. Madrid,Betis,3,0,1.49,4.35,6.84
31.10.2021,2021,Cadiz CF,Mallorca,1,1,2.72,2.95,2.94
31.10.2021,2021,Getafe,Espanyol,2,1,2.63,2.90,3.11
31.10.2021,2021,Real Sociedad,Ath Bilbao,1,1,2.16,3.14,3.77
30.10.2021,2021,Barcelona,Alaves,1,1,1.23,6.41,12.56
30.10.2021,2021,Elche,Real Madrid,1,2,6.57,4.25,1.51
30.10.2021,2021,Sevilla,Osasuna,2,0,1.50,4.15,7.11
30.10.2021,2021,Valencia,Villarreal,2,0,3.01,3.25,2.46
28.10.2021,2021,Celta Vigo,Real Sociedad,0,2,2.91,3.20,2.55
28.10.2021,2021,Granada CF,Getafe,1,1,2.27,2.92,3.78
28.10.2021,2021,Levante,Atl. Madrid,2,2,7.00,4.19,1.50
27.10.2021,2021,Betis,Valencia,4,1,1.90,3.61,4.11
27.10.2021,2021,Mallorca,Sevilla,1,1,4.98,3.22,1.86
27.10.2021,2021,Rayo Vallecano,Barcelona,1,0,4.18,3.69,1.86
27.10.2021,2021,Real Madrid,Osasuna,0,0,1.28,5.91,10.19
26.10.2021,2021,Alaves,Elche,1,0,2.21,2.96,3.88
26.10.2021,2021,Espanyol,Ath Bilbao,1,1,2.86,3.11,2.67
26.10.2021,2021,Villarreal,Cadiz CF,3,3,1.30,5.48,10.96
25.10.2021,2021,Getafe,Celta Vigo,0,3,2.74,2.94,2.95
24.10.2021,2021,Atl. Madrid,Real Sociedad,2,2,1.65,3.71,5.81
24.10.2021,2021,Barcelona,Real Madrid,1,2,2.49,3.69,2.68
24.10.2021,2021,Betis,Rayo Vallecano,3,2,1.75,3.84,4.71
24.10.2021,2021,Sevilla,Levante,5,3,1.49,4.23,7.22
23.10.2021,2021,Ath Bilbao,Villarreal,2,1,2.40,3.23,3.12
23.10.2021,2021,Cadiz CF,Alaves,0,2,2.54,2.92,3.23
23.10.2021,2021,Elche,Espanyol,2,2,2.63,2.96,3.04
23.10.2021,2021,Valencia,Mallorca,2,2,1.78,3.54,4.94
22.10.2021,2021,Osasuna,Granada CF,1,1,1.68,3.66,5.65
18.10.2021,2021,Alaves,Betis,0,1,3.61,3.30,2.14
18.10.2021,2021,Espanyol,Cadiz CF,2,0,1.67,3.59,5.94
17.10.2021,2021,Barcelona,Valencia,3,1,1.52,4.56,5.83
17.10.2021,2021,Celta Vigo,Sevilla,0,1,2.85,3.09,2.69
17.10.2021,2021,Rayo Vallecano,Elche,2,1,1.82,3.37,4.97
17.10.2021,2021,Villarreal,Osasuna,1,2,1.54,4.11,6.49
16.10.2021,2021,Levante,Getafe,0,0,2.41,2.86,3.55
16.10.2021,2021,Real Sociedad,Mallorca,1,0,1.48,4.24,7.32
03.10.2021,2021,Elche,Celta Vigo,1,0,3.26,3.01,2.44
03.10.2021,2021,Espanyol,Real Madrid,2,1,5.21,4.09,1.63
03.10.2021,2021,Getafe,Real Sociedad,1,1,3.49,2.90,2.40
03.10.2021,2021,Granada CF,Sevilla,1,0,5.65,3.53,1.71
03.10.2021,2021,Villarreal,Betis,2,0,1.98,3.56,3.83
02.10.2021,2021,Atl. Madrid,Barcelona,2,0,1.93,3.50,4.11
02.10.2021,2021,Cadiz CF,Valencia,0,0,3.45,3.08,2.31
02.10.2021,2021,Mallorca,Levante,1,0,2.28,3.21,3.38
02.10.2021,2021,Osasuna,Rayo Vallecano,1,0,2.24,3.21,3.45
01.10.2021,2021,Ath Bilbao,Alaves,1,0,1.57,3.79,6.95
27.09.2021,2021,Celta Vigo,Granada CF,1,0,1.58,4.00,6.08
26.09.2021,2021,Barcelona,Levante,3,0,1.46,4.62,6.83
26.09.2021,2021,Betis,Getafe,2,0,1.60,3.76,6.45
26.09.2021,2021,Mallorca,Osasuna,2,3,2.46,3.03,3.23
26.09.2021,2021,Rayo Vallecano,Cadiz CF,3,1,1.62,3.76,6.14
26.09.2021,2021,Real Sociedad,Elche,1,0,1.49,4.10,7.67
25.09.2021,2021,Alaves,Atl. Madrid,1,0,7.94,4.10,1.47
25.09.2021,2021,Real Madrid,Villarreal,0,0,1.47,4.71,6.35
25.09.2021,2021,Sevilla,Espanyol,2,0,1.42,4.47,8.45
25.09.2021,2021,Valencia,Ath Bilbao,1,1,2.83,3.12,2.68
23.09.2021,2021,Cadiz CF,Barcelona,0,0,6.80,4.42,1.48
23.09.2021,2021,Granada CF,Real Sociedad,2,3,4.16,3.30,1.99
23.09.2021,2021,Osasuna,Betis,1,3,2.33,3.26,3.21
22.09.2021,2021,Espanyol,Alaves,1,0,1.77,3.51,5.09
22.09.2021,2021,Real Madrid,Mallorca,6,1,1.22,6.84,12.81
22.09.2021,2021,Sevilla,Valencia,3,1,1.60,3.93,5.97
22.09.2021,2021,Villarreal,Elche,4,1,1.47,4.26,7.50
21.09.2021,2021,Ath Bilbao,Rayo Vallecano,1,2,1.77,3.49,5.09
21.09.2021,2021,Getafe,Atl. Madrid,1,2,6.83,3.48,1.63
21.09.2021,2021,Levante,Celta Vigo,0,2,3.12,3.31,2.36
20.09.2021,2021,Barcelona,Granada CF,1,1,1.29,5.80,10.33
19.09.2021,2021,Betis,Espanyol,2,2,1.84,3.48,4.61
19.09.2021,2021,Mallorca,Villarreal,0,0,3.43,3.25,2.23
19.09.2021,2021,Real Sociedad,Sevilla,0,0,2.40,3.17,3.18
19.09.2021,2021,Valencia,Real Madrid,1,2,4.47,3.93,1.75
