"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","result.mat","opt.proportion"
"2017-09-09","Brighton","WestBrom","Everton","Tottenham","H","D",2.65,3.5,9.275,0,0
"2017-09-09","Brighton","WestBrom","Everton","Tottenham","D","D",3.04,3.5,10.64,0,0
"2017-09-09","Brighton","WestBrom","Everton","Tottenham","A","D",2.98,3.5,10.43,0,0
"2017-09-09","Brighton","WestBrom","Leicester","Chelsea","H","H",2.65,4.68,12.402,1,0
"2017-09-09","Brighton","WestBrom","Leicester","Chelsea","D","H",3.04,4.68,14.2272,0,0.001
"2017-09-09","Brighton","WestBrom","Leicester","Chelsea","A","H",2.98,4.68,13.9464,0,0.001
"2017-09-09","Brighton","WestBrom","Leicester","Chelsea","H","D",2.65,3.79,10.0435,0,0
"2017-09-09","Brighton","WestBrom","Leicester","Chelsea","D","D",3.04,3.79,11.5216,0,0
"2017-09-09","Brighton","WestBrom","Leicester","Chelsea","A","D",2.98,3.79,11.2942,0,0
"2017-09-09","Brighton","WestBrom","ManchesterCity","Liverpool","H","D",2.65,3.85,10.2025,0,0
"2017-09-09","Brighton","WestBrom","ManchesterCity","Liverpool","D","D",3.04,3.85,11.704,0,0
"2017-09-09","Brighton","WestBrom","ManchesterCity","Liverpool","A","D",2.98,3.85,11.473,0,0
"2017-09-09","Brighton","WestBrom","ManchesterCity","Liverpool","H","A",2.65,4,10.6,0,0
"2017-09-09","Brighton","WestBrom","ManchesterCity","Liverpool","D","A",3.04,4,12.16,0,0
"2017-09-09","Brighton","WestBrom","ManchesterCity","Liverpool","A","A",2.98,4,11.92,0,0
"2017-09-09","Brighton","WestBrom","Southampton","Watford","H","D",2.65,3.85,10.2025,0,0
"2017-09-09","Brighton","WestBrom","Southampton","Watford","D","D",3.04,3.85,11.704,0,0
"2017-09-09","Brighton","WestBrom","Southampton","Watford","A","D",2.98,3.85,11.473,0,0
"2017-09-09","Brighton","WestBrom","Southampton","Watford","H","A",2.65,5.39,14.2835,0,0.001
"2017-09-09","Brighton","WestBrom","Southampton","Watford","D","A",3.04,5.39,16.3856,0,0.003
"2017-09-09","Brighton","WestBrom","Southampton","Watford","A","A",2.98,5.39,16.0622,0,0.002
"2017-09-09","Brighton","WestBrom","Stoke","ManchesterUnited","H","H",2.65,7.03,18.6295,1,0.004
"2017-09-09","Brighton","WestBrom","Stoke","ManchesterUnited","D","H",3.04,7.03,21.3712,0,0.006
"2017-09-09","Brighton","WestBrom","Stoke","ManchesterUnited","A","H",2.98,7.03,20.9494,0,0.006
"2017-09-09","Brighton","WestBrom","Stoke","ManchesterUnited","H","D",2.65,4.2,11.13,0,0
"2017-09-09","Brighton","WestBrom","Stoke","ManchesterUnited","D","D",3.04,4.2,12.768,0,0
"2017-09-09","Brighton","WestBrom","Stoke","ManchesterUnited","A","D",2.98,4.2,12.516,0,0
"2017-09-09","Everton","Tottenham","Leicester","Chelsea","H","H",3.88,4.68,18.1584,1,0.004
"2017-09-09","Everton","Tottenham","Leicester","Chelsea","D","H",3.5,4.68,16.38,0,0.003
"2017-09-09","Everton","Tottenham","Leicester","Chelsea","A","H",2,4.68,9.36,0,0
"2017-09-09","Everton","Tottenham","Leicester","Chelsea","H","D",3.88,3.79,14.7052,0,0.001
"2017-09-09","Everton","Tottenham","Leicester","Chelsea","D","D",3.5,3.79,13.265,0,0
"2017-09-09","Everton","Tottenham","ManchesterCity","Liverpool","H","D",3.88,3.85,14.938,0,0.001
"2017-09-09","Everton","Tottenham","ManchesterCity","Liverpool","D","D",3.5,3.85,13.475,0,0
"2017-09-09","Everton","Tottenham","ManchesterCity","Liverpool","H","A",3.88,4,15.52,0,0.002
"2017-09-09","Everton","Tottenham","ManchesterCity","Liverpool","D","A",3.5,4,14,0,0.001
"2017-09-09","Everton","Tottenham","Southampton","Watford","H","D",3.88,3.85,14.938,0,0.001
"2017-09-09","Everton","Tottenham","Southampton","Watford","D","D",3.5,3.85,13.475,0,0
