"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","result.mat","bet.money"
"2001-09-08","Middlesbrough","Newcastle","Sunderland","Blackburn","D","A",3,3.75,11.25,0,0
"2001-09-08","Middlesbrough","Newcastle","Sunderland","Blackburn","A","A",2.7,3.75,10.125,0,0
"2001-09-09","Charlton","Fulham","Tottenham","Southampton","H","D",2.6,3.6,9.36,0,0
"2001-09-09","Charlton","Fulham","Tottenham","Southampton","D","D",3,3.6,10.8,0,0
"2001-09-09","Charlton","Fulham","Tottenham","Southampton","A","D",2.6,3.6,9.36,0,0
"2001-09-09","Charlton","Fulham","Tottenham","Southampton","H","A",2.6,5,13,0,0
"2001-09-09","Charlton","Fulham","Tottenham","Southampton","D","A",3,5,15,0,0
"2001-09-09","Charlton","Fulham","Tottenham","Southampton","A","A",2.6,5,13,0,0
"2001-09-15","Bolton","Southampton","Derby","Leicester","A","H",5,2.04,10.2,0,0
"2001-09-15","Bolton","Southampton","Derby","Leicester","D","D",3.5,3.2,11.2,0,0
"2001-09-15","Bolton","Southampton","Derby","Leicester","A","D",5,3.2,16,0,0
"2001-09-15","Bolton","Southampton","Derby","Leicester","D","A",3.5,3.75,13.125,0,0
"2001-09-15","Bolton","Southampton","Derby","Leicester","A","A",5,3.75,18.75,1,0
"2001-09-15","Bolton","Southampton","Everton","Liverpool","D","H",3.5,3.2,11.2,0,0
"2001-09-15","Bolton","Southampton","Everton","Liverpool","A","H",5,3.2,16,0,0
"2001-09-15","Bolton","Southampton","Everton","Liverpool","D","D",3.5,3.2,11.2,0,0
"2001-09-15","Bolton","Southampton","Everton","Liverpool","A","D",5,3.2,16,0,0
"2001-09-15","Bolton","Southampton","Everton","Liverpool","A","A",5,2.29,11.45,1,0
"2001-09-15","Bolton","Southampton","Fulham","Arsenal","D","H",3.5,3.25,11.375,0,0
"2001-09-15","Bolton","Southampton","Fulham","Arsenal","A","H",5,3.25,16.25,0,0
"2001-09-15","Bolton","Southampton","Fulham","Arsenal","D","D",3.5,3.1,10.85,0,0
"2001-09-15","Bolton","Southampton","Fulham","Arsenal","A","D",5,3.1,15.5,0,0
"2001-09-15","Bolton","Southampton","Fulham","Arsenal","A","A",5,2.35,11.75,1,0
"2001-09-15","Bolton","Southampton","Middlesbrough","West Ham","A","H",5,2.4,12,0,0
