Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
19.01.2013,Wigan,Sunderland,2:03,A,2.12,3.28,3.59
16.01.2013,Chelsea,Southampton,2:02,D,1.22,6.58,12.89
13.01.2013,Arsenal,Manchester City,0:02,A,2.72,3.31,2.61
13.01.2013,Manchester United,Liverpool,2:01,H,1.96,3.48,3.93
12.01.2013,Aston Villa,Southampton,0:01,A,2.49,3.34,2.82
12.01.2013,Everton,Swansea,0:00,D,1.58,4,5.85
12.01.2013,Fulham,Wigan,1:01,D,2.05,3.37,3.69
12.01.2013,Norwich,Newcastle,0:00,D,2.17,3.4,3.31
12.01.2013,QPR,Tottenham,0:00,D,4.52,3.67,1.78
12.01.2013,Reading,West Brom,3:02,H,2.82,3.3,2.51
12.01.2013,Stoke,Chelsea,0:04,A,4.45,3.45,1.85
12.01.2013,Sunderland,West Ham,3:00,H,2.49,3.21,2.94
02.01.2013,Chelsea,QPR,0:01,A,1.25,5.98,11.75
02.01.2013,Liverpool,Sunderland,3:00,H,1.38,4.77,8.37
02.01.2013,Newcastle,Everton,1:02,A,3.56,3.39,2.09
01.01.2013,Manchester City,Stoke,3:00,H,1.33,4.98,10.2
01.01.2013,Southampton,Arsenal,1:01,D,4.88,3.8,1.69
01.01.2013,Swansea,Aston Villa,2:02,D,1.6,3.93,5.7
01.01.2013,Tottenham,Reading,3:01,H,1.33,4.99,9.63
01.01.2013,West Brom,Fulham,1:02,A,1.96,3.5,3.84
01.01.2013,West Ham,Norwich,2:01,H,1.98,3.43,3.84
01.01.2013,Wigan,Manchester United,0:04,A,4.99,3.76,1.7
30.12.2012,Everton,Chelsea,1:02,A,3.01,3.28,2.37
30.12.2012,QPR,Liverpool,0:03,A,4.32,3.63,1.82
29.12.2012,Arsenal,Newcastle,7:03,H,1.42,4.56,7.52
29.12.2012,Aston Villa,Wigan,0:03,A,2.65,3.19,2.78
29.12.2012,Fulham,Swansea,1:02,A,2.19,3.33,3.31
29.12.2012,Manchester United,West Brom,2:00,H,1.3,5.45,9.69
29.12.2012,Norwich,Manchester City,3:04,A,6.14,4.06,1.55
