Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds
01.01.2002,Sunderland,Aston Villa,1:01,D,2.25,3.11,3.31
01.01.2002,Tottenham,Blackburn,1:00,H,1.76,3.43,4.82
30.12.2001,Fulham,Manchester United,2:03,A,4.05,3.35,1.88
29.12.2001,Arsenal,Middlesbrough,2:01,H,1.37,4.55,7.95
29.12.2001,Aston Villa,Tottenham,1:01,D,2.19,3.16,3.36
29.12.2001,Blackburn,Derby,0:01,A,1.74,3.43,4.8
29.12.2001,Bolton,Leicester,2:02,D,1.96,3.28,3.81
29.12.2001,Everton,Charlton,0:03,A,1.98,3.26,3.83
29.12.2001,Ipswich,Sunderland,5:00,H,2.37,3.08,3
29.12.2001,Newcastle,Chelsea,1:02,A,2.18,3.15,3.39
29.12.2001,Southampton,Leeds,0:01,A,3.56,3.19,2.08
29.12.2001,West Ham,Liverpool,1:01,D,3.63,3.23,2.03
26.12.2001,Arsenal,Chelsea,2:01,H,2.15,3.2,3.44
26.12.2001,Aston Villa,Liverpool,1:02,A,2.65,2.98,2.61
26.12.2001,Blackburn,Sunderland,0:03,A,2.14,3.2,3.4
26.12.2001,Bolton,Leeds,0:03,A,3.39,3.14,2.18
26.12.2001,Everton,Manchester United,0:02,A,3.99,3.26,1.92
26.12.2001,Fulham,Charlton,0:00,D,2.05,3.23,3.6
26.12.2001,Ipswich,Leicester,2:00,H,2.13,3.21,3.44
26.12.2001,Newcastle,Middlesbrough,3:00,H,1.66,3.58,5.3
26.12.2001,Southampton,Tottenham,1:00,H,2.6,3.03,2.65
26.12.2001,West Ham,Derby,4:00,H,1.75,3.53,4.68
23.12.2001,Chelsea,Bolton,5:01,H,1.54,3.8,6.23
23.12.2001,Liverpool,Arsenal,1:02,A,2.23,3.15,3.28
22.12.2001,Charlton,Blackburn,0:02,A,2.15,3.15,3.44
22.12.2001,Derby,Aston Villa,3:01,H,2.84,3.04,2.51
22.12.2001,Leeds,Newcastle,3:04,A,1.88,3.33,4.2
22.12.2001,Leicester,West Ham,1:01,D,2.45,3.09,2.85
22.12.2001,Manchester United,Southampton,6:01,H,1.31,4.98,8.88
22.12.2001,Sunderland,Everton,1:00,H,2.08,3.18,3.56
22.12.2001,Tottenham,Ipswich,1:02,A,1.52,3.78,6.18
19.12.2001,Leeds,Everton,3:02,H,1.54,3.8,6.12
18.12.2001,Arsenal,Newcastle,1:03,A,1.65,3.65,5.35
17.12.2001,Aston Villa,Ipswich,2:01,H,1.56,3.65,6.14
16.12.2001,Chelsea,Liverpool,4:00,H,2.63,3,2.66
16.12.2001,Leeds,Leicester,2:02,D,1.35,4.58,8.3
15.12.2001,Bolton,Charlton,0:00,D,2.25,3.13,3.2
15.12.2001,Everton,Derby,1:00,H,1.7,3.45,5.15
15.12.2001,Middlesbrough,Manchester United,0:01,A,4.08,3.28,1.87
15.12.2001,Newcastle,Blackburn,2:01,H,1.72,3.48,4.9
15.12.2001,Southampton,Sunderland,2:00,H,2.52,3.04,2.76
15.12.2001,Tottenham,Fulham,4:00,H,1.99,3.21,3.73
15.12.2001,West Ham,Arsenal,1:01,D,4.3,3.33,1.82
12.12.2001,Liverpool,Fulham,0:00,D,1.48,3.97,6.8
12.12.2001,Manchester United,Derby,5:00,H,1.36,4.6,8.3
09.12.2001,Arsenal,Aston Villa,3:02,H,1.62,3.58,5.5
09.12.2001,Blackburn,Leeds,1:02,A,2.9,3.1,2.41
09.12.2001,Ipswich,Newcastle,0:01,A,2.9,3.1,2.4
09.12.2001,Sunderland,Chelsea,0:00,D,2.78,3.08,2.51
08.12.2001,Charlton,Tottenham,3:01,H,2.78,3.09,2.49
08.12.2001,Derby,Bolton,1:00,H,2.5,3.06,2.75
08.12.2001,Fulham,Everton,2:00,H,1.97,3.23,3.79
08.12.2001,Leicester,Southampton,0:04,A,2.05,3.19,3.64
08.12.2001,Liverpool,Middlesbrough,2:00,H,1.43,4.05,7.13
08.12.2001,Manchester United,West Ham,0:01,A,1.33,4.65,8.38
05.12.2001,Chelsea,Charlton,0:01,A,1.51,3.73,6.28
05.12.2001,West Ham,Aston Villa,1:01,D,2.61,3.05,2.66
03.12.2001,Tottenham,Bolton,3:02,H,1.77,3.45,4.6
02.12.2001,Everton,Southampton,2:00,H,1.78,3.4,4.64
02.12.2001,Fulham,Leeds,0:00,D,2.91,3.08,2.36
01.12.2001,Aston Villa,Leicester,0:02,A,1.49,3.78,6.85
01.12.2001,Blackburn,Middlesbrough,0:01,A,1.95,3.28,3.88
01.12.2001,Charlton,Newcastle,1:01,D,2.64,2.99,2.64
01.12.2001,Derby,Liverpool,0:01,A,4.51,3.33,1.81
01.12.2001,Ipswich,Arsenal,0:02,A,4,3.28,1.9
01.12.2001,Manchester United,Chelsea,0:03,A,1.69,3.45,5.24
01.12.2001,Sunderland,West Ham,1:00,H,1.99,3.23,3.82
25.11.2001,Arsenal,Manchester United,3:01,H,2.49,3.06,2.75
25.11.2001,Leeds,Aston Villa,1:01,D,1.76,3.48,4.7
25.11.2001,Liverpool,Sunderland,1:00,H,1.44,4.08,7.03
25.11.2001,Middlesbrough,Ipswich,0:00,D,1.84,3.35,4.25
24.11.2001,Bolton,Fulham,0:00,D,2.35,3.11,3.04
24.11.2001,Chelsea,Blackburn,0:00,D,1.63,3.55,5.51
24.11.2001,Leicester,Everton,0:00,D,2.59,3.04,2.62
24.11.2001,Newcastle,Derby,1:00,H,1.51,3.78,6.6
24.11.2001,Southampton,Charlton,1:00,H,2.45,3.08,2.84
24.11.2001,West Ham,Tottenham,0:01,A,2.59,3.04,2.62
19.11.2001,Charlton,West Ham,4:04,D,2.44,3.05,2.86
18.11.2001,Everton,Chelsea,0:00,D,2.59,3,2.69
18.11.2001,Ipswich,Bolton,1:02,A,2.29,3.19,3.1
18.11.2001,Sunderland,Leeds,2:00,H,3.3,3.16,2.23
17.11.2001,Aston Villa,Middlesbrough,0:00,D,1.68,3.55,5.03
17.11.2001,Blackburn,Liverpool,1:01,D,3.23,3.19,2.21
17.11.2001,Derby,Southampton,1:00,H,2.18,3.18,3.38
17.11.2001,Fulham,Newcastle,3:01,H,2.5,3.08,2.79
17.11.2001,Manchester United,Leicester,2:00,H,1.29,4.85,9.22
17.11.2001,Tottenham,Arsenal,1:01,D,2.8,3.08,2.48
04.11.2001,Arsenal,Charlton,2:04,A,1.38,4.33,7.93
04.11.2001,Chelsea,Ipswich,2:01,H,1.5,3.86,6.85
04.11.2001,Leeds,Tottenham,2:01,H,1.6,3.58,5.75
04.11.2001,Liverpool,Manchester United,3:01,H,2.49,3.03,2.89
03.11.2001,Bolton,Everton,2:02,D,2.22,3.17,3.3
03.11.2001,Leicester,Sunderland,1:00,H,2.66,3.05,2.59
03.11.2001,Middlesbrough,Derby,5:01,H,1.8,3.35,4.47
03.11.2001,Newcastle,Aston Villa,3:00,H,2.34,3.1,3
03.11.2001,Southampton,Blackburn,1:02,A,2.6,2.99,2.68
03.11.2001,West Ham,Fulham,0:02,A,2.16,3.22,3.3
29.10.2001,Blackburn,Leicester,0:00,D,1.58,3.8,6
28.10.2001,Derby,Chelsea,1:01,D,3.75,3.3,2
28.10.2001,Ipswich,West Ham,2:03,A,2.04,3.1,4
