"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","implied.joint.prob","result.mat","predict.prob","kelly.criterion"
2013-08-17,"Swansea","Manchester United","West Brom","Southampton","D","A","3.35","2.97",9.9495,0.0902341535994065,0,0.111636879938305,0.00714672071200579
2013-08-17,"Swansea","Manchester United","West Brom","Southampton","A","A","2.11","2.97",6.2667,0.143262755714697,1,0.166120915322918,0.0253636757629584
2013-08-17,"Swansea","Manchester United","West Ham","Cardiff","H","H","3.56","2.04",7.2624,0.124040928468606,0,0.149472675244343,0.0180234188429049
2013-08-17,"Swansea","Manchester United","West Ham","Cardiff","D","H","3.35","2.04",6.834,0.131816628462161,0,0.156452149325448,0.0209941403924849
2013-08-17,"Swansea","Manchester United","West Ham","Cardiff","H","D","3.56","3.32",11.8192,0.0762179199023966,0,0.0907418251742908,0.00415553846692452
2013-08-17,"Swansea","Manchester United","West Ham","Cardiff","D","D","3.35","3.32",11.122,0.0809957596574722,0,0.0980611920495928,0.00518283766914289
2013-08-17,"Swansea","Manchester United","West Ham","Cardiff","A","D","2.11","3.32",7.0052,0.128595163437219,0,0.153630069010166,0.0197403145186683
2013-08-17,"Swansea","Manchester United","West Ham","Cardiff","H","A","3.56","3.81",13.5636,0.0664156152430332,0,0.0746478407686873,0.00231165847705734
2013-08-17,"Swansea","Manchester United","West Ham","Cardiff","D","A","3.35","3.81",12.7635,0.0705789821687159,0,0.0816551299705354,0.0030510265010962
2013-08-17,"Swansea","Manchester United","West Ham","Cardiff","A","A","2.11","3.81",8.0391,0.112056677850805,0,0.137506749762926,0.0138230791353138
2013-08-17,"West Brom","Southampton","West Ham","Cardiff","D","H","3.27","2.04",6.6708,0.134516823292363,0,0.159183474735166,0.0216885424471265
2013-08-17,"West Brom","Southampton","West Ham","Cardiff","A","H","2.97","2.04",6.0588,0.148104381200682,1,0.169787756250792,0.0274187662520622
2013-08-17,"West Brom","Southampton","West Ham","Cardiff","H","D","2.41","3.32",8.0012,0.112150030597747,0,0.138070459532566,0.0135131855768327
2013-08-17,"West Brom","Southampton","West Ham","Cardiff","D","D","3.27","3.32",10.8564,0.0826549155169939,0,0.100993587181393,0.00528361525021763
