"Time","H.team.1","A.team.1","H.team.2","A.team.2","Choose.1","Choose.2","Odd.1","Odd.2","joint.odds","implied.joint.prob","result.mat","predict.prob","kelly.criterion","bet.money"
"2012-09-29","Everton","Southampton","Fulham","Manchester City","H","H",1.4,4.53,6.342,0.140563784190713,0,0.159948095476601,0.00504877066039369,49.0323266738304
"2012-09-29","Everton","Southampton","Manchester United","Tottenham","D","H",4.58,1.54,7.0532,0.126829720227656,0,0.149845791164409,0.00303197172026348,29.4457082433968
"2012-09-29","Everton","Southampton","Norwich","Liverpool","H","H",1.4,4.58,6.412,0.139548392899264,0,0.158928073540188,0.00535444294593689,52.0009351466744
"2012-09-29","Fulham","Manchester City","Manchester United","Tottenham","A","D",1.78,4.1,7.298,0.122299535331414,0,0.1465009527417,0.00203364540697051,19.750226865234
"2012-09-29","Fulham","Manchester City","Norwich","Liverpool","A","D",1.78,3.62,6.4436,0.138551493915828,0,0.158469458697665,0.00486093179462705,47.2080852400566
"2012-09-29","Fulham","Manchester City","Stoke","Swansea","A","A",1.78,4.03,7.1734,0.124093944232263,0,0.148195054298658,0.00198921624166797,19.3187425508346
"2012-09-29","Fulham","Manchester City","Sunderland","Wigan","A","A",1.78,3.56,6.3368,0.140444031365538,0,0.160024094407543,0.00479891574969745,46.6058017975027
"2012-09-29","Manchester United","Tottenham","Norwich","Liverpool","D","A",4.1,1.78,7.298,0.122756212912006,0,0.1465009527417,0.00255289870427884,24.7930776922313
"2012-09-29","Manchester United","Tottenham","Stoke","Swansea","H","A",1.54,4.03,6.2062,0.143932021512007,0,0.161943104947416,0.00599447865357611,58.2167928298267
"2012-09-29","Norwich","Liverpool","Stoke","Swansea","A","A",1.78,4.03,7.1734,0.124557322298783,0,0.148195054298658,0.00251719102195274,24.4462941161197
"2012-09-29","Norwich","Liverpool","Sunderland","Wigan","D","H",3.62,2.11,7.6382,0.116950191263733,0,0.141963146044212,0.00134051768405876,13.0187535576612
"2012-09-29","Reading","Newcastle","Stoke","Swansea","D","H",3.27,1.94,6.3438,0.140259944595579,1,0.159921795438043,0.00473548679356477,45.9897965346621
"2012-09-29","Reading","Newcastle","Sunderland","Wigan","D","H",3.27,2.11,6.8997,0.128928992257405,1,0.151977482564097,0.00268132819337388,26.0403509568422
"2012-09-29","Stoke","Swansea","Sunderland","Wigan","D","H",3.38,2.11,7.1318,0.124890285352895,0,0.148764524098691,0.00218497748572206,21.2199240292952
"2012-10-06","Chelsea","Norwich","Manchester City","Sunderland","H","D",1.21,5.28,6.3888,0.140010673805438,0,0.159265511169979,0.00540177601640634,52.0830086092931
"2012-10-06","Swansea","Reading","West Brom","QPR","H","D",1.84,3.6,6.624,0.134519923370602,0,0.155873280586829,0.00386169924176822,37.2338494311211
"2012-10-06","Swansea","Reading","West Ham","Arsenal","H","H",1.84,4.06,7.4704,0.119462326977798,0,0.144185407566073,0.00159210944965959,15.3508494098434
"2012-10-06","Swansea","Reading","Wigan","Everton","D","A",3.58,2.02,7.2316,0.123135764126044,0,0.147401592548283,0.00188123734442536,18.1385715565107
"2012-10-06","West Brom","QPR","West Ham","Arsenal","H","H",1.83,4.06,7.4298,0.120080493527385,0,0.144727753227904,0.00164937741758142,15.9030174481423
"2012-10-06","West Brom","QPR","Wigan","Everton","D","A",3.6,2.02,7.272,0.122416369793731,0,0.146853027790912,0.0017365526586556,16.7435463441191
"2012-10-06","West Ham","Arsenal","Wigan","Everton","D","A",3.54,2.02,7.1508,0.124682823021606,0,0.148504189283114,0.00227453625951037,21.930693021411
"2012-10-07","Liverpool","Stoke","Newcastle","Manchester United","D","A",4.1,1.75,7.175,0.124625665747761,1,0.148173190302848,0.00262227421434823,24.8183751593389
"2012-10-07","Liverpool","Stoke","Tottenham","Aston Villa","H","D",1.49,4.3,6.407,0.139644341405947,0,0.1590007446746,0.00536064254625385,50.735516934147
"2012-10-07","Newcastle","Manchester United","Tottenham","Aston Villa","A","D",1.75,4.3,7.525,0.118756764935856,0,0.143458913588166,0.00164802937915928,15.5976866117922
"2012-10-20","Fulham","Aston Villa","Liverpool","Reading","A","H",4.99,1.31,6.5369,0.136766074477883,0,0.157122091298004,0.00471052436665019,44.9919479367858
"2012-10-20","Fulham","Aston Villa","Manchester United","Stoke","A","H",4.99,1.29,6.4371,0.139061755684432,0,0.158563700010615,0.00531546553582957,50.7699631788325
"2012-10-20","Fulham","Aston Villa","Norwich","Arsenal","H","D",1.72,4.33,7.4476,0.120364107145229,0,0.144489751907891,0.00225412636554501,21.5299886355664
"2012-10-20","Fulham","Aston Villa","Swansea","Wigan","D","H",3.66,2.08,7.6128,0.11755807596483,0,0.142297545520532,0.00164252268152188,15.6883372677627
"2012-10-20","Fulham","Aston Villa","West Brom","Manchester City","H","D",1.72,3.74,6.4328,0.139488302954453,0,0.158626071019272,0.00571891838699414,54.6234895087372
"2012-10-20","Fulham","Aston Villa","West Ham","Southampton","H","A",1.72,4.27,7.3444,0.122199302262943,0,0.145874502271467,0.00267957325348606,25.5935880869633
"2012-10-20","Liverpool","Reading","Manchester United","Stoke","H","D",1.31,5.25,6.8775,0.129520685163985,0,0.152287983031775,0.00295153724162712,28.1912160032423
"2012-10-20","Liverpool","Reading","Norwich","Arsenal","D","A",5.15,1.49,7.6735,0.116249638910924,0,0.141499582222435,0.00108050343310035,10.3202850518615
"2012-10-20","Liverpool","Reading","West Brom","Manchester City","H","H",1.31,5.07,6.6417,0.134440572397082,0,0.155620566265386,0.00411860247930277,39.3382846362141
"2012-10-20","Manchester United","Stoke","West Brom","Manchester City","H","H",1.29,5.07,6.5403,0.136697218985996,0,0.157073180044078,0.00469979057843053,44.8894255840383
"2012-10-20","Norwich","Arsenal","West Brom","Manchester City","A","H",1.49,5.07,7.5543,0.118516413054691,0,0.143070408494088,0.00183007720023604,17.4797393462742
"2012-10-20","Norwich","Arsenal","West Ham","Southampton","D","H",4.33,1.83,7.9239,0.113011060137969,0,0.138250240624724,0.0010726283225706,10.2450669794406
"2012-10-20","Swansea","Wigan","Tottenham","Chelsea","H","D",2.08,3.25,6.76,0.132329138512025,0,0.15394070915068,0.00397546077711741,37.9710856768153
"2012-10-20","Swansea","Wigan","West Brom","Manchester City","H","D",2.08,3.74,7.7792,0.114900346264978,0,0.140119649647263,0.001122624425326,10.7225981154939
"2012-10-20","Swansea","Wigan","West Ham","Southampton","H","D",2.08,3.63,7.5504,0.118405949033454,0,0.143122066309411,0.00164471109022681,15.7092395628901
"2012-10-20","West Brom","Manchester City","West Ham","Southampton","A","A",1.69,4.27,7.2163,0.124213801472501,0,0.147609816386948,0.00285158003942613,27.236488060601
"2012-10-21","QPR","Everton","Sunderland","Newcastle","A","D",2.13,3.17,6.7521,0.132000363847454,0,0.154052391689591,0.00344781928316319,31.361593333858
"2012-10-27","Aston Villa","Norwich","Reading","Fulham","H","D",1.95,3.3,6.435,0.138637344563307,0,0.158594157608667,0.00478145405255414,43.3424698090223
"2012-10-27","Aston Villa","Norwich","Stoke","Sunderland","A","H",3.9,1.93,7.527,0.118407802376687,0,0.143432364436643,0.00128382235499024,11.6374707462866
"2012-10-27","Aston Villa","Norwich","Wigan","West Ham","H","D",1.95,3.36,6.552,0.135908475397996,0,0.156904969187478,0.00402637457351436,36.4978971823729
"2012-10-27","Reading","Fulham","Stoke","Sunderland","D","H",3.3,1.93,6.369,0.140253227543326,0,0.159553988073558,0.00526393998536234,47.7160623911463
"2012-10-27","Reading","Fulham","Wigan","West Ham","A","A",2.4,3.17,7.608,0.117309126688144,0,0.142360818528243,0.00128771852412471,11.6727883695923
"2012-10-27","Stoke","Sunderland","Wigan","West Ham","D","H",3.32,2.24,7.4368,0.119891848923899,1,0.144634115424698,0.00154684151801175,14.0216618327543
"2012-10-28","Chelsea","Manchester United","Everton","Liverpool","H","D",2.29,3.2,7.328,0.122485352962271,0,0.146095646753257,0.00273717514598677,24.6457790483288
"2012-10-28","Chelsea","Manchester United","Newcastle","West Brom","D","H",3.36,1.93,6.4848,0.137742583218555,0,0.157873245297506,0.00477666032479599,43.0094928804419
"2012-10-28","Chelsea","Manchester United","Southampton","Tottenham","D","A",3.36,2.01,6.7536,0.132434614870783,0,0.154031180678702,0.00397492150291738,35.7905621198514
"2012-10-28","Everton","Liverpool","Southampton","Tottenham","D","A",3.2,2.01,6.432,0.139142460539983,1,0.158637677278791,0.00530266895726934,47.7457234254471
"2012-10-28","Newcastle","West Brom","Southampton","Tottenham","H","H",1.93,3.66,7.0638,0.126084735436928,0,0.1496995666074,0.0023672937535464,21.3153326625579
